,Title,Artists,Danceability,Energy,Loudness,Speechiness,Acousticness,Valence,Continent,id,Song URL
91,Summertime Sadness,Lana Del Rey,0.568,0.646,-13.842819030680303,0.033,0.046,0.211,Anglo-America,1FEiijYPJtyswChfcpv3p0,https://open.spotify.com/track/1FEiijYPJtyswChfcpv3p0
92,Eyes Closed,Ed Sheeran,0.793,0.52,-14.94997776789684,0.07,0.246,0.309,Europe,3p7XQpdt8Dr6oMXSvRZ9bg,https://open.spotify.com/track/3p7XQpdt8Dr6oMXSvRZ9bg
93,Perfect,Ed Sheeran,0.599,0.448,-13.040795909293024,0.023,0.163,0.168,Europe,0tgVpDi06FyKpA1z0VMD4v,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
94,Romantic Homicide,d4vd,0.571,0.544,-20.212316585148955,0.03,0.453,0.216,Anglo-America,1xK59OXxi2TAAAbmZK0kBL,https://open.spotify.com/track/1xK59OXxi2TAAAbmZK0kBL
95,Under The Influence,Chris Brown,0.733,0.69,-11.735215651400623,0.043,0.064,0.31,Anglo-America,5IgjP7X4th6nMNDh4akUHb,https://open.spotify.com/track/5IgjP7X4th6nMNDh4akUHb
96,El Merengue,"Marshmello, Manuel Turizo",0.775,0.677,-10.357936860827039,0.044,0.031,0.698,Anglo-America,51FvjPEGKq2zByeeEQ43V9,https://open.spotify.com/track/51FvjPEGKq2zByeeEQ43V9
97,Area Codes,Kali,0.823,0.388,-20.63583815028902,0.491,0.019,0.507,Anglo-America,7sliFe6W30tPBPh6dvZsIH,https://open.spotify.com/track/7sliFe6W30tPBPh6dvZsIH
98,Night Changes,One Direction,0.672,0.52,-15.433526011560694,0.035,0.859,0.37,Europe,5O2P9iiztwhomNh8xkR9lJ,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ
99,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",0.755,0.522,-9.799355269008444,0.058,0.533,0.925,Anglo-America,0RiRZpuVRbi7oqRdSMwhQY,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
100,Queencard,(G)I-DLE,0.815,0.834,-7.231547354379721,0.048,0.033,0.692,Asia,4uOBL4DDWWVx4RhYKlPbPC,https://open.spotify.com/track/4uOBL4DDWWVx4RhYKlPbPC
101,Trance (with Travis Scott & Young Thug),"Metro Boomin, Travis Scott, Young Thug",0.571,0.549,-2.528423743886165,0.404,0.18,0.447,Anglo-America,5wG3HvLhF6Y5KTGlK0IW3J,https://open.spotify.com/track/5wG3HvLhF6Y5KTGlK0IW3J
